,Student ID,Gender,Student's Avg Score,Passed Subjects
6055,866,Female,80.7,4.0
6062,867,Female,88.6,7.0
6069,868,Female,83.1,5.0
6076,869,Male,80.0,4.0
6083,870,Male,83.1,5.0
6090,871,Female,87.7,6.0
6097,872,Female,73.4,3.0
6104,873,Male,78.6,4.0
6111,874,Male,92.4,6.0
6118,875,Male,78.4,3.0
6125,876,Female,77.4,5.0
6132,877,Male,74.9,3.0
6139,878,Male,72.1,4.0
6146,879,Female,80.6,5.0
6153,880,Female,71.9,2.0
6160,881,Bigender,76.1,3.0
6167,882,Female,72.6,3.0
6174,883,Male,82.7,5.0
6181,884,Male,79.0,4.0
6188,885,Female,80.7,4.0
6195,886,Male,76.7,4.0
6202,887,Bigender,91.0,7.0
6209,888,Female,79.0,4.0
6216,889,Female,80.1,4.0
6223,890,Male,82.4,5.0
6230,891,Male,87.9,6.0
6237,892,Female,73.7,4.0
6244,893,Male,76.6,4.0
6251,894,Bigender,79.4,5.0
6258,895,Genderqueer,83.6,5.0
6265,896,Female,79.7,4.0
6272,897,Agender,83.6,6.0
6279,898,Male,78.1,4.0
6286,899,Female,81.3,4.0
6293,900,Female,78.1,4.0
6300,901,Female,82.7,5.0
6307,902,Female,75.0,3.0
6314,903,Male,69.6,2.0
6321,904,Female,85.3,5.0
6328,905,Male,77.9,5.0
6335,906,Male,76.1,4.0
6342,907,Female,73.9,3.0
6349,908,Male,77.7,4.0
6356,909,Polygender,76.4,4.0
6363,910,Bigender,75.6,3.0
6370,911,Male,86.0,6.0
6377,912,Male,83.6,5.0
6384,913,Male,73.4,2.0
6391,914,Female,87.3,6.0
6398,915,Female,76.9,5.0
6405,916,Male,78.6,4.0
6412,917,Female,74.0,2.0
6419,918,Male,77.6,4.0
6426,919,Female,71.0,2.0
6433,920,Male,84.1,5.0
6440,921,Female,71.0,3.0
6447,922,Female,82.9,6.0
6454,923,Male,81.9,4.0
6461,924,Male,82.9,4.0
6468,925,Male,79.9,4.0
6475,926,Female,85.1,5.0
6482,927,Female,74.7,3.0
6489,928,Genderfluid,88.1,6.0
6496,929,Genderfluid,79.7,5.0
6503,930,Female,72.6,2.0
6510,931,Female,83.9,6.0
6517,932,Female,86.7,6.0
6524,933,Female,77.0,3.0
6531,934,Male,82.4,5.0
6538,935,Female,80.6,4.0
6545,936,Male,84.6,6.0
6552,937,Male,77.6,3.0
6559,938,Male,72.9,2.0
6566,939,Male,78.3,4.0
6573,940,Female,85.0,7.0
6580,941,Female,80.6,6.0
6587,942,Female,78.4,4.0
6594,943,Female,78.1,4.0
6601,944,Male,82.6,5.0
6608,945,Female,86.3,5.0
6615,946,Female,79.9,5.0
6622,947,Male,80.4,4.0
6629,948,Female,73.1,3.0
6636,949,Male,78.7,5.0
6643,950,Female,79.4,4.0
6650,951,Male,82.7,5.0
6657,952,Male,83.4,5.0
6664,953,Male,81.9,4.0
6671,954,Male,75.3,3.0
6678,955,Female,83.4,5.0
6685,956,Male,80.4,4.0
6692,957,Female,82.0,4.0
6699,958,Male,78.7,4.0
6706,959,Male,77.3,4.0
6713,960,Female,70.3,2.0
6720,961,Female,88.6,6.0
6727,962,Male,86.7,6.0
6734,963,Male,74.9,4.0
6741,964,Male,79.4,4.0
6748,965,Male,75.7,5.0
6755,966,Male,79.9,4.0
6762,967,Male,74.6,3.0
6769,968,Female,71.9,1.0
6776,969,Male,75.0,3.0
6783,970,Male,79.0,4.0
6790,971,Female,82.0,6.0
6797,972,Male,83.4,4.0
6804,973,Female,86.3,6.0
6811,974,Male,78.4,5.0
6818,975,Female,83.7,5.0
6825,976,Male,79.7,5.0
6832,977,Non-binary,79.4,4.0
6839,978,Female,75.1,4.0
6846,979,Female,79.7,5.0
6853,980,Male,79.4,3.0
6860,981,Female,83.3,6.0
6867,982,Male,89.1,6.0
6874,983,Male,79.1,4.0
6881,984,Female,76.0,3.0
6888,985,Male,85.6,6.0
6895,986,Male,80.6,5.0
6902,987,Male,74.0,3.0
6909,988,Male,85.6,6.0
6916,989,Male,78.3,5.0
6923,990,Female,79.9,6.0
6930,991,Female,77.4,4.0
6937,992,Female,77.0,3.0
6944,993,Non-binary,81.3,5.0
6951,994,Female,81.3,5.0
6958,995,Female,79.3,5.0
6965,996,Female,87.0,6.0
6972,997,Female,90.0,7.0
6979,998,Male,81.1,5.0
6986,999,Female,74.0,3.0
6993,1000,Female,79.4,5.0
